src_ip,dest_ip,src_port,dest_port,ip_version,transport_protocol,traffic_direction,num_packets,bytes_transferred,start_time,end_time,time_window_start
2a00:1450:4009:c08::13,2a01:23c6:47a6:b501:19d2:6381:6249:91df,443,59437,IPV6,TCP,INCOMING,16,5415,2025-09-26 21:43:04,2025-09-26 21:43:05,2025-09-26 21:43:04
2a01:23c6:47a6:b501:19d2:6381:6249:91df,2a00:1450:4009:c0b::5f,49437,443,IPV6,UDP,OUTGOING,15,1368,2025-09-26 21:43:04,2025-09-26 21:43:27,2025-09-26 21:43:04
2a01:23c6:47a6:b501:19d2:6381:6249:91df,2a00:1450:4009:c08::13,59437,443,IPV6,TCP,OUTGOING,15,6794,2025-09-26 21:43:04,2025-09-26 21:43:05,2025-09-26 21:43:04
2a00:1450:4009:c0b::5f,2a01:23c6:47a6:b501:19d2:6381:6249:91df,443,49437,IPV6,UDP,INCOMING,15,1345,2025-09-26 21:43:04,2025-09-26 21:43:27,2025-09-26 21:43:04
192.168.1.95,192.168.1.254,9385,53,IPV4,UDP,OUTGOING,1,75,2025-09-26 21:43:04,2025-09-26 21:43:04,2025-09-26 21:43:04
192.168.1.95,192.168.1.254,54761,53,IPV4,UDP,OUTGOING,1,75,2025-09-26 21:43:04,2025-09-26 21:43:04,2025-09-26 21:43:04
192.168.1.95,192.168.1.254,50230,53,IPV4,UDP,OUTGOING,1,75,2025-09-26 21:43:04,2025-09-26 21:43:04,2025-09-26 21:43:04
192.168.1.254,192.168.1.95,53,9385,IPV4,UDP,INCOMING,1,187,2025-09-26 21:43:04,2025-09-26 21:43:04,2025-09-26 21:43:04
192.168.1.254,192.168.1.95,53,54761,IPV4,UDP,INCOMING,1,139,2025-09-26 21:43:04,2025-09-26 21:43:04,2025-09-26 21:43:04
2a01:23c6:47a6:b501:19d2:6381:6249:91df,2a00:1450:4009:c08::53,59438,443,IPV6,TCP,OUTGOING,21,8645,2025-09-26 21:43:04,2025-09-26 21:43:05,2025-09-26 21:43:04
192.168.1.254,192.168.1.95,53,50230,IPV4,UDP,INCOMING,1,125,2025-09-26 21:43:04,2025-09-26 21:43:04,2025-09-26 21:43:04
2a00:1450:4009:c08::53,2a01:23c6:47a6:b501:19d2:6381:6249:91df,443,59438,IPV6,TCP,INCOMING,36,32233,2025-09-26 21:43:04,2025-09-26 21:43:05,2025-09-26 21:43:04
2a01:23c6:47a6:b501:19d2:6381:6249:91df,2a00:1450:4009:c13::8b,64522,443,IPV6,UDP,OUTGOING,23,2930,2025-09-26 21:43:06,2025-09-26 21:43:29,2025-09-26 21:43:04
2a00:1450:4009:c13::8b,2a01:23c6:47a6:b501:19d2:6381:6249:91df,443,64522,IPV6,UDP,INCOMING,24,3671,2025-09-26 21:43:06,2025-09-26 21:43:29,2025-09-26 21:43:04
192.168.1.95,18.132.241.97,59277,443,IPV4,TCP,OUTGOING,7,703,2025-09-26 21:43:06,2025-09-26 21:43:26,2025-09-26 21:43:04
192.168.1.95,18.132.241.97,59278,443,IPV4,TCP,OUTGOING,7,703,2025-09-26 21:43:06,2025-09-26 21:43:26,2025-09-26 21:43:04
18.132.241.97,192.168.1.95,443,59278,IPV4,TCP,INCOMING,6,567,2025-09-26 21:43:06,2025-09-26 21:43:26,2025-09-26 21:43:04
18.132.241.97,192.168.1.95,443,59277,IPV4,TCP,INCOMING,6,567,2025-09-26 21:43:06,2025-09-26 21:43:26,2025-09-26 21:43:04
2a00:1450:4009:c15::5f,2a01:23c6:47a6:b501:19d2:6381:6249:91df,443,56944,IPV6,UDP,INCOMING,40,3892,2025-09-26 21:43:07,2025-09-26 21:43:29,2025-09-26 21:43:04
2a01:23c6:47a6:b501:19d2:6381:6249:91df,2a00:1450:4009:c15::5f,56944,443,IPV6,UDP,OUTGOING,40,3661,2025-09-26 21:43:07,2025-09-26 21:43:29,2025-09-26 21:43:04
